Country,DeathsPerMillion,HealthExpenditure,NumberOfCases,NumberOfDeaths,Population
Albania,851.5,202.01332092,132297,2449,2876101
Algeria,85.32,260.77255249,128456,3460,40551404
Angola,26.25,95.12497711,34180,757,28842484
Argentina,1768.92,1153.53405762,3732263,77108,43590368
Armenia,1508.1,357.45776367,222555,4428,2936146
Australia,37.62,4971.61474609,30096,910,24190907
Austria,1212.36,4709.87597656,644207,10592,8736668
Azerbaijan,502.47,156.99572754,333723,4903,9757812
Bahrain,658.58,1098.88354492,235698,939,1425791
Bangladesh,79.44,34.58186722,797386,12549,157970840
Belarus,297.95,298.62658691,392629,2831,9501534
Belgium,2199.28,4328.84619141,1059763,24921,11331422
Benin,9.29,30.22834778,8058,101,10872067
Bolivia,1308.49,210.23809814,366714,14435,11031813
Bosnia and Herzegovina,2720.1,460.88534546,203839,9211,3386267
Botswana,384.73,402.80163574,53771,831,2159944
Brazil,2236.37,801.41131592,16471600,461057,206163058
Bulgaria,2477.19,562.34082031,418221,17657,7127822
Burkina Faso,8.9,40.95483017,13430,166,18646378
Burundi,0.57,22.41840553,4715,6,10487998
Cambodia,12.88,77.65436554,28825,203,15766293
Cameroon,53.29,50.8497467,78929,1275,23926539
Canada,704.83,4610.92626953,1384373,25451,36109487
Central African Republic,21.6,21.8805294,7085,98,4537687
Chad,11.88,34.352211,4928,173,14561666
Chile,1595.19,1171.62304688,1369597,29047,18209068
China,3.51,395.35995483,102960,4846,1378665000
Colombia,1821.42,442.13824463,3363061,87747,48175048
Indonesia,192.17,109.93779755,1809926,50262,261554226
Italy,2078.3,2699.73291016,4213055,126002,60627498
Jamaica,324.13,276.45974731,48374,942,2906238
Liberia,18.75,69.9858551,2179,86,4586788
Mauritius,13.45,553.21362305,1363,17,1263473
Mexico,1811.8,490.79937744,2411503,223455,123333376
Finland,172.51,4107.06298828,92244,948,5495303
France,1641.36,4268.17431641,5719877,109518,66724104
Gabon,74.71,216.90785217,24365,150,2007873
Georgia,1271.36,301.54577637,342880,4739,3727505
Nepal,262.76,48.31941986,553422,7163,27261131
Netherlands,1050.42,4734.83349609,1671967,17889,17030314
New Zealand,5.52,3746.47680664,2672,26,4714100
Nicaragua,29.51,169.6340332,7324,186,6303974
Niger,9.24,22.55697441,5410,192,20788838
Nigeria,11.14,79.37476349,166285,2071,185960289
North Macedonia,2594.26,327.49136353,155246,5398,2080745
Norway,149.58,7496.76855469,124655,783,5234519
Oman,514.15,637.19128418,213784,2303,4479219
Pakistan,101.83,38.91104126,918936,20736,203627284
Panama,1577.63,1050.24365234,377428,6369,4037078
Papua New Guinea,19.58,58.48953247,15772,162,8271760
Paraguay,1325.93,357.74761963,350613,8987,6777872
Peru,2230.42,318.45950317,1947555,68978,30926032
Philippines,199.9,129.6149292,1216582,20722,103663927
Poland,1940.53,813.47277832,2871371,73682,37970087
Portugal,1648.64,1880.15686035,848213,17023,10325452
Qatar,208.71,1822.36999512,217041,554,2654374
Israel,749.71,2813.3359375,839453,6407,8546000
"Korea, Rep.",38.21,2034.43676758,139910,1957,51217803
Malaysia,86.36,362.11486816,558534,2650,30684804
Mali,28.78,29.44280052,14265,517,17965429
Mauritania,111.2,47.35323715,19463,463,4163534
Dominican Republic,348.92,424.3001709,290526,3628,10397743
Ecuador,1242.18,502.74447632,424741,20485,16491115
"Egypt, Arab Rep.",158.83,153.48695374,260659,15001,94447072
El Salvador,352.57,293.25802612,73246,2241,6356143
Equatorial Guinea,97.11,290.68115234,8529,118,1215179
Estonia,950,1186.1027832,129424,1250,1315790
Eswatini,603.24,233.63514709,18589,672,1113984
Ethiopia,39.99,25.07559586,271200,4143,103603501
Sudan,65.25,165.85246277,35289,2600,39847440
Sweden,1456.3,5674.47753906,1068473,14451,9923085
Switzerland,1290.41,9439.42480469,693023,10805,8373338
Tajikistan,10.39,56.20223236,13308,90,8663579
Tanzania,0.4,37.18800735,509,21,53050790
Thailand,14.32,224.99452209,151842,988,68971331
Timor-Leste,13.12,93.38000488,6752,16,1219288
"Iran, Islamic Rep.",1002.22,458.25817871,2893218,79741,79564016
Japan,101.4,4174.42236328,742539,12877,126994511
Jordan,987.91,298.80722046,734659,9436,9551467
Kazakhstan,193.44,263.48373413,438715,3442,17794055
Kuwait,445.81,1114.57995605,306717,1764,3956875
Latvia,1209.47,874.79772949,132918,2370,1959537
Lebanon,1150.03,609.06103516,540132,7718,6711121
Lesotho,157.11,89.38617706,10825,326,2075001
Moldova,2176.88,171.18476868,255105,6100,2802170
Mongolia,87.69,161.90859985,56621,268,3056359
Morocco,260.15,154.1124115,518868,9138,35126296
Mozambique,30.04,30.72076035,70724,836,27829942
Germany,1073.64,4742.03417969,3684672,88413,82348669
Ghana,27.53,66.85653687,93775,784,28481946
Greece,1115.82,1488.1986084,400395,12024,10775971
Guatemala,513.09,241.78253174,253837,8121,15827690
Guinea,13.72,39.55763626,23172,161,11738441
Guinea-Bissau,38.15,50.6244812,3761,68,1782437
Haiti,27.86,59.13440323,14128,302,10839970
Honduras,679.12,180.16775513,236952,6296,9270795
Hungary,3027.2,914.19354248,804032,29709,9814023
Togo,16.64,39.26917267,13432,125,7509952
Trinidad and Tobago,341.18,1106.50854492,23001,470,1377564
Tunisia,1112.35,258.75515747,343374,12574,11303946
Turkey,592.21,466.7947998,5235978,47271,79821724
Uganda,9.13,42.19992828,45931,362,39647506
Ukraine,1164.63,157.53770447,2257904,52414,45004673
United Arab Emirates,178.72,1298.12792969,567263,1673,9360980
India,246.11,60.60255051,27894800,325972,1324509589
Iraq,446.15,154.18597412,1193608,16334,36610632
Ireland,1039.04,4717.56835938,254870,4941,4755335
Kenya,64.03,72.51428223,170485,3141,49051686
Lithuania,1480.01,988.5279541,273866,4245,2868231
Madagascar,33.3,24.48439217,41234,829,24894380
Malawi,67.07,30.94216537,34329,1154,17205289
Costa Rica,808.68,878.88891602,314102,3962,4899345
Cote d'Ivoire,12.72,67.21105194,47233,303,23822714
Croatia,1916.95,840.9050293,355955,8002,4174349
Cuba,83.19,984.84844971,140087,943,11335109
Cyprus,307.64,1681.90368652,72363,360,1170187
Czech Republic,2848.77,1321.62023926,1660935,30101,10566332
Denmark,439.42,5565.59326172,280183,2517,5728010
Romania,1535.2,476.24505615,1077426,30247,19702267
Russian Federation,822.91,464.89776611,4995613,118781,144342397
Rwanda,30.17,51.88179779,26892,352,11668818
Saudi Arabia,226.06,1160.04992676,448284,7334,32442572
Senegal,75.9,54.07107544,41331,1138,14993528
Serbia,969.64,486.42944336,712046,6844,7058322
Sierra Leone,10.78,87.10140228,4141,79,7328838
Singapore,5.71,2476.17456055,62003,32,5607283
Slovak Republic,2270.94,1175.5970459,389440,12333,5430798
Slovenia,2117.15,1835.40734863,253493,4372,2065042
South Africa,1002.76,426.83197021,1659070,56363,56207649
Spain,1718.98,2376.72119141,3668658,79905,46484062
Sri Lanka,64.28,151.47502136,180593,1363,21203000
"Congo, Dem. Rep.",9.93,20.58203506,31416,782,78789127
Namibia,346.9,423.87445068,54659,818,2358041
United Kingdom,1951.44,4066.09350586,4496823,128037,65611593
United States,1840.29,9877.87109375,33251939,594306,322941311
Uruguay,1219.58,1450.14489746,288172,4176,3424132
Uzbekistan,21.6,129.17277527,99844,688,31847900
"Venezuela, RB",87.62,505.40612793,231443,2615,29846179
Zambia,77.98,57.36268997,94751,1276,16363507
Zimbabwe,113.61,113.40885925,38933,1594,14030390
Afghanistan,81.93,60.18867111,70111,2899,35383128
Vietnam,0.5,124.0594101,6908,47,93638724
